"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2022","308.08","317.47","317.63","308.08","161.70M","-2.62%"
"06/21/2022","316.38","315.95","318.74","313.66","120.06M","0.62%"
"06/20/2022","314.44","321.46","321.62","311.71","151.13M","-1.77%"
"06/17/2022","320.09","316.36","320.71","314.79","197.27M","-0.67%"
"06/16/2022","322.25","326.72","328.84","321.54","138.75M","0.01%"
"06/15/2022","322.21","327.70","328.30","320.29","159.36M","-1.83%"
"06/14/2022","328.23","325.68","329.27","323.36","174.25M","-0.50%"
"06/13/2022","329.88","335.76","335.97","329.88","163.80M","-3.51%"
"06/10/2022","341.89","342.32","343.25","340.66","136.21M","-1.36%"
"06/09/2022","346.62","345.35","346.82","343.69","191.39M","0.12%"
"06/08/2022","346.22","346.46","348.11","345.56","123.30M","0.16%"
"06/07/2022","345.67","350.04","350.53","345.02","135.31M","-1.80%"
"06/03/2022","352.01","353.47","353.93","351.10","134.65M","0.43%"
"06/02/2022","350.51","352.29","352.81","349.55","196.09M","-1.14%"
"05/31/2022","354.54","351.79","354.72","350.01","266.68M","0.58%"
"05/30/2022","352.49","351.53","352.85","350.07","151.01M","1.28%"
"05/27/2022","348.04","348.42","349.11","347.15","133.07M","1.10%"
"05/26/2022","344.26","345.54","349.03","342.65","126.45M","-0.39%"
"05/25/2022","345.60","346.34","347.60","343.51","125.14M","0.44%"
"05/24/2022","344.08","349.02","349.79","344.08","151.00M","-1.79%"
"05/23/2022","350.34","351.16","351.41","348.48","183.16M","0.30%"
"05/20/2022","349.29","345.15","349.68","344.89","133.21M","1.76%"
"05/19/2022","343.24","341.07","344.10","340.55","196.53M","-1.46%"
"05/18/2022","348.34","349.62","351.20","347.15","166.29M","0.23%"
"05/17/2022","347.53","345.14","347.91","345.13","171.09M","1.04%"
"05/16/2022","343.94","348.13","348.88","343.52","231.88M","-0.45%"
"05/13/2022","345.50","340.49","345.82","339.72","187.36M","2.24%"
"05/12/2022","337.94","340.14","343.03","337.65","262.82M","-1.60%"
"05/11/2022","343.44","342.22","344.45","341.22","184.52M","-0.07%"
"05/10/2022","343.67","343.22","344.73","338.46","249.37M","-0.50%"
"05/09/2022","345.41","347.71","349.40","344.84","256.54M","-1.03%"
"05/06/2022","349.00","350.26","350.26","347.98","622.95M","-1.37%"
"05/04/2022","353.85","354.85","356.05","352.27","279.18M","0.15%"
"05/03/2022","353.32","354.28","356.45","353.12","132.70M","-0.20%"
"05/02/2022","354.02","351.31","354.53","350.94","131.47M","-0.30%"
"04/29/2022","355.08","350.43","355.34","349.73","182.27M","1.41%"
"04/28/2022","350.16","348.61","350.16","346.02","164.68M","1.14%"
"04/27/2022","346.21","346.42","346.78","343.76","146.76M","-1.27%"
"04/26/2022","350.67","351.33","352.20","350.38","122.92M","0.48%"
"04/25/2022","348.98","351.36","352.26","348.91","139.46M","-1.81%"
"04/22/2022","355.43","355.54","356.08","353.64","214.76M","-1.00%"
"04/21/2022","359.02","358.33","360.74","358.24","148.56M","0.42%"
"04/20/2022","357.52","357.14","358.28","354.93","148.87M","0.04%"
"04/19/2022","357.36","355.77","358.53","355.29","130.22M","1.05%"
"04/18/2022","353.63","352.19","354.87","351.46","111.00M","-0.06%"
"04/15/2022","353.84","354.35","355.10","352.63","142.64M","-0.99%"
"04/14/2022","357.38","359.23","359.29","356.17","159.16M","-0.45%"
"04/13/2022","359.00","353.83","359.43","353.30","177.43M","1.90%"
"04/12/2022","352.32","353.51","354.83","351.37","129.72M","-0.97%"
"04/11/2022","355.78","354.47","357.73","353.78","131.52M","-0.06%"
"04/08/2022","356.01","356.86","357.62","354.27","166.11M","0.08%"
"04/07/2022","355.73","358.43","358.92","355.37","193.94M","-1.46%"
"04/06/2022","361.01","362.04","362.96","360.52","176.51M","-1.02%"
